;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
2,30002,22.5,117.1,5.204444444444444,0.0,0.0,0.0,0.0,9.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,1.2,66905.0,0.0,0.0,0.0,3,BOX ELDER
3,30003,15.8,61.8,3.9113924050632907,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.9,51492.0,0.0,0.0,0.0,3,BOX ELDER
4,30004,4.3,13.1,3.046511627906977,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,51492.0,0.0,0.0,0.0,3,BOX ELDER
5,30005,61.1,167.7,2.7446808510638294,8.2,0.8,2.1,5.3,15.6,0.5,0.3,1.5,0.6,0.3,0.7,2.9,1.4,0.0,0.0,4.0,3.4,68948.0,0.0,0.0,0.0,3,BOX ELDER
6,30006,6.7,20.0,2.9850746268656714,4.4,0.0,4.4,0.0,5.500000000000001,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,51492.0,0.0,0.0,0.0,3,BOX ELDER
7,30007,44.0,116.9,2.6568181818181817,55.599999999999994,5.7,26.2,23.7,145.2,3.7,2.0,8.3,17.9,1.4,3.7,3.1,15.5,86.5,0.0,0.7,2.4,51492.0,0.0,0.0,0.0,3,BOX ELDER
8,30008,47.8,144.7,3.0271966527196654,44.0,11.6,0.7,31.7,48.60000000000001,11.5,0.1,0.5,0.2,29.1,0.2,0.2,2.2,0.0,0.0,2.0,2.6,71055.0,0.0,0.0,0.0,3,BOX ELDER
9,30009,26.8,32.1,1.1977611940298507,67.4,2.6,55.5,9.3,73.60000000000001,1.5,1.1,4.9,50.6,0.8,2.2,1.8,4.5,0.0,0.0,4.7,1.5,51492.0,0.0,0.0,0.0,3,BOX ELDER
10,30010,18.3,56.9,3.1092896174863385,52.6,0.0,52.6,0.0,54.300000000000004,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,51492.0,0.0,0.0,0.0,3,BOX ELDER
